,,"synergy
","antagonism
"
ACAMPROSATE,CHLOROQUINE,1.0,0.0
ACAMPROSATE,CHLORPHENESIN,0.0,1.0
ACAMPROSATE,CHLORZOXAZONE,1.0,0.0
ACAMPROSATE,CILASTATIN,0.0,1.0
ACAMPROSATE,CINACALCET,0.0,1.0
ACAMPROSATE,CISAPRIDE,1.0,0.0
ACAMPROSATE,CISATRACURIUM BESYLATE,1.0,0.0
ACAMPROSATE,CITALOPRAM,0.0,1.0
ACAMPROSATE,CLOFARABINE,2.0,0.0
ACAMPROSATE,CLOFIBRATE,0.0,1.0
ACAMPROSATE,CLOFIBRIC ACID,0.0,1.0
ACAMPROSATE,CLOPIDOGREL,1.0,0.0
ACAMPROSATE,CYCLOGUANIL,1.0,0.0
ACAMPROSATE,CYTARABINE,1.0,0.0
ACAMPROSATE,D-CYCLOSERINE,0.0,1.0
ACAMPROSATE,DANTROLENE,1.0,0.0
ACAMPROSATE,DESOXYCORTICOSTERONE PIVALATE,0.0,1.0
ACAMPROSATE,DEXCHLORPHENIRAMINE,0.0,1.0
ACAMPROSATE,DEXMEDETOMIDINE,1.0,0.0
ACAMPROSATE,DEXTROMETHORPHAN,0.0,1.0
ACAMPROSATE,DIAZOXIDE,0.0,1.0
ACAMPROSATE,DICHLORPHENAMIDE,0.0,1.0
ACAMPROSATE,DIDEOXYCYTIDINE 5\'-TRIPHOSPHATE,0.0,1.0
ACAMPROSATE,DIETHYLCARBAMAZINE,1.0,0.0
ACAMPROSATE,DIGITOXIN,1.0,0.0
ACAMPROSATE,DIHYDROARTEMISININ,1.0,0.0
ACAMPROSATE,DIPHENIDOL,1.0,0.0
ACAMPROSATE,DIPYRIDAMOLE,0.0,1.0
ACAMPROSATE,DISULFIRAM,0.0,1.0
ACAMPROSATE,DOCETAXEL,1.0,0.0
ACAMPROSATE,DOPAMINE,1.0,0.0
ACAMPROSATE,DOXAPRAM,0.0,1.0
ACAMPROSATE,DRONEDARONE,1.0,0.0
ACAMPROSATE,DUTASTERIDE,1.0,0.0
ACAMPROSATE,EFAVIRENZ,0.0,1.0
ACAMPROSATE,EFLORNITHINE,0.0,1.0
ACAMPROSATE,ELTROMBOPAG,1.0,0.0
ACAMPROSATE,ENALAPRILAT,0.0,1.0
ACAMPROSATE,ENDOXIFEN,1.0,0.0
ACAMPROSATE,ENOXACIN,0.0,1.0
ACAMPROSATE,ENTACAPONE,1.0,0.0
ACAMPROSATE,EPINEPHRINE,0.0,1.0
ACAMPROSATE,EPTIFIBATIDE,1.0,0.0
ACAMPROSATE,ETHAMBUTOL,0.0,1.0
ACAMPROSATE,ETHINYL ESTRADIOL,1.0,0.0
ACAMPROSATE,ETOMIDATE,0.0,1.0
ACAMPROSATE,EVEROLIMUS,0.0,1.0
ACAMPROSATE,EZETIMIBE,1.0,0.0
ACAMPROSATE,EZETIMIBE GLUCURONIDE,0.0,1.0
ACAMPROSATE,FELBAMATE,0.0,1.0
ACAMPROSATE,FENOPROFEN,0.0,1.0
ACAMPROSATE,FLUTAMIDE,1.0,0.0
ACAMPROSATE,FLUVOXAMINE,1.0,0.0
ACAMPROSATE,FOMEPIZOLE,0.0,1.0
ACAMPROSATE,FOSCARNET,0.0,1.0
ACAMPROSATE,FOSFOMYCIN,0.0,1.0
ACAMPROSATE,FURAZOLIDONE,1.0,0.0
ACAMPROSATE,GABAPENTIN,0.0,1.0
ACAMPROSATE,GALANTAMINE,1.0,0.0
ACAMPROSATE,GANCICLOVIR,0.0,1.0
ACAMPROSATE,GEFITINIB,0.0,1.0
ACAMPROSATE,GUANADREL,0.0,1.0
ACAMPROSATE,GUANFACINE,0.0,1.0
ACAMPROSATE,HALOFANTRINE,1.0,0.0
ACAMPROSATE,HYDRALAZINE,1.0,0.0
ACAMPROSATE,HYDROXYCHLOROQUINE,1.0,0.0
ACAMPROSATE,HYDROXYFLUTAMIDE,1.0,0.0
ACAMPROSATE,HYDROXYMETRONIDAZOLE,0.0,1.0
ACAMPROSATE,HYDROXYUREA,0.0,1.0
ACAMPROSATE,IBUTILIDE,1.0,0.0
ACAMPROSATE,ILOPROST,0.0,1.0
ACAMPROSATE,IMATINIB,1.0,0.0
ACAMPROSATE,IMIPRAMINE,1.0,0.0
ACAMPROSATE,IRINOTECAN,1.0,0.0
ACAMPROSATE,ISONIAZID,0.0,1.0
ACAMPROSATE,ISOPROTERENOL,1.0,0.0
ACAMPROSATE,ISOSORBIDE DINITRATE,1.0,0.0
ACAMPROSATE,IVERMECTIN,1.0,0.0
ACAMPROSATE,LACOSAMIDE,0.0,1.0
ACAMPROSATE,LAMOTRIGINE,0.0,1.0
ACAMPROSATE,LANSOPRAZOLE,1.0,0.0
ACAMPROSATE,LEFLUNOMIDE,1.0,0.0
ACAMPROSATE,LEVAMISOLE,1.0,0.0
ACAMPROSATE,LEVETIRACETAM,0.0,1.0
ACAMPROSATE,LEVONORGESTREL,1.0,0.0
ACAMPROSATE,LITHIUM CITRATE,0.0,1.0
ACAMPROSATE,LOPERAMIDE,1.0,0.0
ACAMPROSATE,LUBIPROSTONE,1.0,0.0
ACAMPROSATE,LUMEFANTRINE,1.0,0.0
ACAMPROSATE,MARAVIROC,1.0,0.0
ACAMPROSATE,MEBENDAZOLE,1.0,0.0
ACAMPROSATE,MEBUTAMATE,0.0,1.0
ACAMPROSATE,MECAMYLAMINE,1.0,0.0
ACAMPROSATE,MECLOFENAMIC ACID,1.0,0.0
ACAMPROSATE,MEFLOQUINE,0.0,1.0
ACAMPROSATE,MEMANTINE,1.0,0.0
ACAMPROSATE,MEPHENYTOIN,0.0,1.0
ACAMPROSATE,MERCAPTOPURINE,1.0,0.0
ACAMPROSATE,MESALAZINE,0.0,1.0
ACAMPROSATE,METAXALONE,0.0,1.0
ACAMPROSATE,METFORMIN,0.0,1.0
ACAMPROSATE,METHOTREXATE,1.0,0.0
ACAMPROSATE,METHYCLOTHIAZIDE,1.0,0.0
ACAMPROSATE,METHYLDOPA,0.0,1.0
ACAMPROSATE,METHYLERGONOVINE,1.0,0.0
ACAMPROSATE,METRONIDAZOLE,0.0,1.0
ACAMPROSATE,METYROSINE,0.0,1.0
ACAMPROSATE,MIGLITOL,0.0,1.0
ACAMPROSATE,MIGLUSTAT,0.0,1.0
ACAMPROSATE,MILRINONE,1.0,0.0
ACAMPROSATE,MINOXIDIL,0.0,1.0
ACAMPROSATE,MINOXIDIL SULFATE,1.0,0.0
ACAMPROSATE,MITOTANE,1.0,0.0
ACAMPROSATE,MITOXANTRONE,1.0,0.0
ACAMPROSATE,MYCOPHENOLIC ACID,0.0,1.0
ACAMPROSATE,NALTREXONE,1.0,0.0
ACAMPROSATE,NATEGLINIDE,0.0,1.0
ACAMPROSATE,NICLOSAMIDE,1.0,0.0
ACAMPROSATE,NISOLDIPINE,1.0,0.0
ACAMPROSATE,NITAZOXANIDE,0.0,1.0
ACAMPROSATE,NITISINONE,0.0,1.0
ACAMPROSATE,NITROSOGLUTATHIONE,0.0,1.0
ACAMPROSATE,NORCISAPRIDE,1.0,0.0
ACAMPROSATE,NOVOBIOCIN,0.0,1.0
ACAMPROSATE,OLMESARTAN,1.0,0.0
ACAMPROSATE,OLMESARTAN MEDOXOMIL,1.0,0.0
ACAMPROSATE,ORLISTAT,0.0,1.0
ACAMPROSATE,OSELTAMIVIR,1.0,0.0
ACAMPROSATE,OSELTAMIVIR ACID,0.0,1.0
ACAMPROSATE,OXYPHENBUTAZONE,1.0,0.0
ACAMPROSATE,OXYPHENONIUM BROMIDE,0.0,1.0
ACAMPROSATE,PALONOSETRON,0.0,1.0
ACAMPROSATE,PAMIDRONIC ACID,0.0,1.0
ACAMPROSATE,PARGYLINE,1.0,0.0
ACAMPROSATE,PAROMOMYCIN,0.0,1.0
ACAMPROSATE,PAZOPANIB,0.0,1.0
ACAMPROSATE,PENTAMIDINE,1.0,0.0
ACAMPROSATE,PENTOLINIUM TARTRATE,0.0,1.0
ACAMPROSATE,PENTOSTATIN,1.0,0.0
ACAMPROSATE,PHENPROCOUMON,0.0,1.0
ACAMPROSATE,PHENSUXIMIDE,0.0,1.0
ACAMPROSATE,PINACIDIL,0.0,1.0
ACAMPROSATE,PIPERAZINE HEXAHYDRATE,0.0,1.0
ACAMPROSATE,PRAMIPEXOLE,1.0,0.0
ACAMPROSATE,PRAZIQUANTEL,0.0,1.0
ACAMPROSATE,PREDNISOLONE,0.0,1.0
ACAMPROSATE,PRIMIDONE,0.0,1.0
ACAMPROSATE,PROBENECID,0.0,1.0
ACAMPROSATE,PROBUCOL,0.0,1.0
ACAMPROSATE,PROCARBAZINE,1.0,0.0
ACAMPROSATE,PROGUANIL,1.0,0.0
ACAMPROSATE,PROPYLTHIOURACIL,0.0,1.0
ACAMPROSATE,PYRAZINAMIDE,1.0,0.0
ACAMPROSATE,PYRAZINOIC ACID,0.0,1.0
ACAMPROSATE,PYRIDOSTIGMINE BROMIDE,1.0,0.0
ACAMPROSATE,PYRVINIUM CHLORIDE DIHYDRATE,1.0,0.0
ACAMPROSATE,QUININE,0.0,1.0
ACAMPROSATE,RALTEGRAVIR,0.0,1.0
ACAMPROSATE,RAMELTEON,1.0,0.0
ACAMPROSATE,RANOLAZINE,0.0,1.0
ACAMPROSATE,RIBAVIRIN,0.0,1.0
ACAMPROSATE,RIBAVIRIN 5\'-TRIPHOSPHATE,0.0,1.0
ACAMPROSATE,RIFABUTIN,1.0,0.0
ACAMPROSATE,RILUZOLE,1.0,0.0
ACAMPROSATE,RISPERIDONE,1.0,0.0
ACAMPROSATE,ROSIGLITAZONE,1.0,0.0
ACAMPROSATE,RUFINAMIDE,0.0,1.0
ACAMPROSATE,SAXAGLIPTIN,1.0,0.0
ACAMPROSATE,SERTRALINE,1.0,0.0
ACAMPROSATE,SILDENAFIL,1.0,0.0
ACAMPROSATE,SITAGLIPTIN,1.0,0.0
ACAMPROSATE,SN-38,0.0,1.0
ACAMPROSATE,SODIUM DIETHYLDITHIOCARBAMATE TRIHYDRATE,0.0,1.0
ACAMPROSATE,SORAFENIB,0.0,1.0
ACAMPROSATE,SPIRONOLACTONE,1.0,0.0
ACAMPROSATE,STANOZOLOL,0.0,1.0
ACAMPROSATE,SUCCINYLCHOLINE CHLORIDE,0.0,1.0
ACAMPROSATE,SULBACTAM,0.0,1.0
ACAMPROSATE,SULFAMETER,0.0,1.0
ACAMPROSATE,SUMATRIPTAN,1.0,0.0
ACAMPROSATE,SUNITINIB,1.0,0.0
ACAMPROSATE,TACRINE,1.0,0.0
ACAMPROSATE,TACROLIMUS,1.0,0.0
ACAMPROSATE,TAMOXIFEN,1.0,0.0
ACAMPROSATE,TERAZOSIN,0.0,1.0
ACAMPROSATE,TESTOLACTONE,0.0,1.0
ACAMPROSATE,TESTOSTERONE,1.0,0.0
ACAMPROSATE,TETRABENAZINE,1.0,0.0
ACAMPROSATE,TETRACYCLINE,0.0,1.0
ACAMPROSATE,THALIDOMIDE,1.0,0.0
ACAMPROSATE,THEOPHYLLINE,0.0,1.0
ACAMPROSATE,THIABENDAZOLE,0.0,1.0
ACAMPROSATE,THIOTEPA,0.0,1.0
ACAMPROSATE,TIAGABINE,1.0,0.0
ACAMPROSATE,TINIDAZOLE,0.0,1.0
ACAMPROSATE,TIZOXANIDE,1.0,0.0
ACAMPROSATE,TOLAZOLINE,1.0,0.0
ACAMPROSATE,TOPIRAMATE,0.0,1.0
ACAMPROSATE,TRANEXAMIC ACID,1.0,0.0
ACAMPROSATE,TRANYLCYPROMINE,1.0,0.0
ACAMPROSATE,TRAZODONE,1.0,0.0
ACAMPROSATE,TRIAMTERENE,1.0,0.0
ACAMPROSATE,TRIFLUOPERAZINE,1.0,0.0
ACAMPROSATE,TRIFLUPROMAZINE,0.0,1.0
ACAMPROSATE,TRIHEXYPHENIDYL,1.0,0.0
ACAMPROSATE,TRILOSTANE,0.0,1.0
ACAMPROSATE,TRIMETHOPRIM,0.0,1.0
ACAMPROSATE,TRIOXSALEN,1.0,0.0
ACAMPROSATE,VALPROIC ACID,0.0,1.0
ACAMPROSATE,VARENICLINE,0.0,1.0
ACAMPROSATE,VECURONIUM BROMIDE,0.0,1.0
ACAMPROSATE,VINBLASTINE,0.0,1.0
ACAMPROSATE,ZAFIRLUKAST,1.0,0.0
ACAMPROSATE,ZALCITABINE,1.0,0.0
ACAMPROSATE,ZALEPLON,1.0,0.0
ACAMPROSATE,ZILEUTON,0.0,1.0
ACAMPROSATE,ZOLINZA,1.0,0.0
ACAMPROSATE,ZONISAMIDE,0.0,1.0
ACARBOSE,ACETAZOLAMIDE,0.0,1.0
ACARBOSE,ACETOHEXAMIDE,0.0,1.0
ACARBOSE,ACITRETIN,0.0,1.0
ACARBOSE,ALBENDAZOLE,1.0,0.0
ACARBOSE,ALLOPURINOL,0.0,1.0
ACARBOSE,ALTRETAMINE,0.0,1.0
ACARBOSE,AMANTADINE,0.0,1.0
ACARBOSE,AMILORIDE,0.0,1.0
ACARBOSE,AMODIAQUINE,0.0,1.0
ACARBOSE,AMPRENAVIR,0.0,1.0
ACARBOSE,ANASTROZOLE,0.0,1.0
ACARBOSE,APREPITANT,0.0,1.0
ACARBOSE,ARGATROBAN,1.0,0.0
ACARBOSE,ARMODAFINIL,0.0,1.0
ACARBOSE,ARTEMETHER,0.0,1.0
ACARBOSE,ATENOLOL,0.0,1.0
ACARBOSE,ATOVAQUONE,0.0,1.0
ACARBOSE,AURANOFIN,1.0,0.0
ACARBOSE,AZACITIDINE,1.0,0.0
ACARBOSE,AZATADINE,0.0,1.0
ACARBOSE,BORTEZOMIB,1.0,0.0
ACARBOSE,BOSENTAN,0.0,1.0
ACARBOSE,BRETYLIUM TOSYLATE,0.0,1.0
ACARBOSE,BUMETANIDE,0.0,1.0
ACARBOSE,BUSPIRONE,0.0,1.0
ACARBOSE,BUSULFAN,0.0,1.0
ACARBOSE,CANRENONE,1.0,0.0
ACARBOSE,CARBACHOL,0.0,1.0
ACARBOSE,CARBOPLATIN,0.0,1.0
ACARBOSE,CARISOPRODOL,0.0,1.0
ACARBOSE,CEFMENOXIME,0.0,1.0
ACARBOSE,CERIVASTATIN,1.0,0.0
ACARBOSE,CEVIMELINE,0.0,1.0
ACARBOSE,CHLORAMBUCIL,1.0,0.0
ACARBOSE,CHLOROQUINE,0.0,1.0
ACARBOSE,CHLORZOXAZONE,0.0,1.0
ACARBOSE,CILASTATIN,0.0,1.0
ACARBOSE,CINACALCET,0.0,1.0
ACARBOSE,CISATRACURIUM BESYLATE,0.0,1.0
ACARBOSE,CLOFARABINE,1.0,0.0
ACARBOSE,CLOFIBRATE,0.0,1.0
ACARBOSE,CLOPIDOGREL,0.0,1.0
ACARBOSE,CYCLOGUANIL,1.0,0.0
ACARBOSE,CYTARABINE,1.0,0.0
ACARBOSE,D-CYCLOSERINE,0.0,1.0
ACARBOSE,DANTROLENE,0.0,1.0
ACARBOSE,DESOXYCORTICOSTERONE PIVALATE,0.0,1.0
ACARBOSE,DEXCHLORPHENIRAMINE,0.0,1.0
ACARBOSE,DEXMEDETOMIDINE,0.0,1.0
ACARBOSE,DEXTROMETHORPHAN,0.0,1.0
ACARBOSE,DIAZOXIDE,1.0,0.0
ACARBOSE,DICHLORPHENAMIDE,0.0,1.0
ACARBOSE,DIDEOXYCYTIDINE 5\'-TRIPHOSPHATE,0.0,1.0
ACARBOSE,DIETHYLCARBAMAZINE,0.0,1.0
ACARBOSE,DIGITOXIN,0.0,1.0
ACARBOSE,DIHYDROARTEMISININ,1.0,0.0
ACARBOSE,DIPHENIDOL,0.0,1.0
ACARBOSE,DIPYRIDAMOLE,0.0,1.0
ACARBOSE,DISULFIRAM,1.0,0.0
ACARBOSE,DOCETAXEL,1.0,0.0
ACARBOSE,DOPAMINE,0.0,1.0
ACARBOSE,DOXAPRAM,0.0,1.0
ACARBOSE,DOXORUBICIN,1.0,0.0
ACARBOSE,DUTASTERIDE,0.0,1.0
ACARBOSE,EFAVIRENZ,0.0,1.0
ACARBOSE,ELTROMBOPAG,1.0,0.0
ACARBOSE,ENALAPRILAT,0.0,1.0
ACARBOSE,ENDOXIFEN,0.0,1.0
ACARBOSE,ENOXACIN,0.0,1.0
ACARBOSE,ENTACAPONE,0.0,1.0
ACARBOSE,EPINEPHRINE,1.0,0.0
ACARBOSE,EPTIFIBATIDE,0.0,1.0
ACARBOSE,ETHAMBUTOL,0.0,1.0
ACARBOSE,ETHINYL ESTRADIOL,0.0,1.0
ACARBOSE,ETOMIDATE,0.0,1.0
ACARBOSE,EZETIMIBE,0.0,1.0
ACARBOSE,EZETIMIBE GLUCURONIDE,0.0,1.0
ACARBOSE,FEBUXOSTAT,0.0,1.0
ACARBOSE,FELBAMATE,0.0,1.0
ACARBOSE,FENOPROFEN,1.0,0.0
ACARBOSE,FLUMAZENIL,0.0,1.0
ACARBOSE,FLUTAMIDE,0.0,1.0
ACARBOSE,FLUVOXAMINE,0.0,1.0
ACARBOSE,FOSCARNET,0.0,1.0
ACARBOSE,FOSFOMYCIN,0.0,1.0
ACARBOSE,FURAZOLIDONE,1.0,0.0
ACARBOSE,GABAPENTIN,0.0,1.0
ACARBOSE,GALANTAMINE,0.0,1.0
ACARBOSE,GANCICLOVIR,0.0,1.0
ACARBOSE,GEFITINIB,1.0,0.0
ACARBOSE,GUANADREL,1.0,0.0
ACARBOSE,GUANFACINE,0.0,1.0
ACARBOSE,HALOFANTRINE,1.0,0.0
ACARBOSE,HYDRALAZINE,0.0,1.0
ACARBOSE,HYDROXYCHLOROQUINE,0.0,1.0
ACARBOSE,HYDROXYFLUTAMIDE,0.0,1.0
ACARBOSE,HYDROXYMETRONIDAZOLE,0.0,1.0
ACARBOSE,HYDROXYUREA,0.0,1.0
ACARBOSE,IBUTILIDE,1.0,0.0
ACARBOSE,ILOPROST,1.0,0.0
ACARBOSE,IMATINIB,0.0,1.0
ACARBOSE,IRINOTECAN,1.0,0.0
ACARBOSE,ISONIAZID,0.0,1.0
ACARBOSE,ISOPROTERENOL,0.0,1.0
ACARBOSE,ISOSORBIDE DINITRATE,0.0,1.0
ACARBOSE,IVERMECTIN,0.0,1.0
ACARBOSE,LACOSAMIDE,0.0,1.0
ACARBOSE,LAMOTRIGINE,0.0,1.0
ACARBOSE,LANSOPRAZOLE,1.0,0.0
ACARBOSE,LEFLUNOMIDE,1.0,0.0
ACARBOSE,LEVAMISOLE,0.0,1.0
ACARBOSE,LEVETIRACETAM,1.0,0.0
ACARBOSE,LIOTHYRONINE,0.0,1.0
ACARBOSE,LITHIUM CITRATE,0.0,1.0
ACARBOSE,LOPERAMIDE,0.0,1.0
ACARBOSE,LUBIPROSTONE,0.0,1.0
ACARBOSE,LUMEFANTRINE,0.0,1.0
ACARBOSE,MAPROTILINE,0.0,1.0
ACARBOSE,MARAVIROC,0.0,1.0
ACARBOSE,MEBENDAZOLE,0.0,1.0
ACARBOSE,MECAMYLAMINE,0.0,1.0
ACARBOSE,MECLOFENAMIC ACID,0.0,1.0
ACARBOSE,MEFLOQUINE,1.0,0.0
ACARBOSE,MEMANTINE,1.0,0.0
ACARBOSE,MEPHENYTOIN,0.0,1.0
ACARBOSE,MERCAPTOPURINE,0.0,1.0
ACARBOSE,MESALAZINE,0.0,1.0
ACARBOSE,METAXALONE,0.0,1.0
ACARBOSE,METHOTREXATE,0.0,1.0
ACARBOSE,METHYCLOTHIAZIDE,1.0,0.0
ACARBOSE,METHYLDOPA,0.0,1.0
ACARBOSE,METHYLERGONOVINE,0.0,1.0
ACARBOSE,METRONIDAZOLE,0.0,1.0
ACARBOSE,METYROSINE,0.0,1.0
ACARBOSE,MIGLITOL,1.0,0.0
ACARBOSE,MIGLUSTAT,0.0,1.0
ACARBOSE,MILRINONE,1.0,0.0
ACARBOSE,MINOXIDIL SULFATE,1.0,0.0
ACARBOSE,MITOTANE,0.0,1.0
ACARBOSE,MITOXANTRONE,0.0,1.0
ACARBOSE,MYCOPHENOLIC ACID,0.0,1.0
ACARBOSE,NABILONE,0.0,1.0
ACARBOSE,NALTREXONE,0.0,1.0
ACARBOSE,NATEGLINIDE,0.0,1.0
ACARBOSE,NITISINONE,0.0,1.0
ACARBOSE,NITROSOGLUTATHIONE,0.0,1.0
ACARBOSE,NIZATIDINE,0.0,1.0
ACARBOSE,NORCISAPRIDE,0.0,1.0
ACARBOSE,NOVOBIOCIN,1.0,0.0
ACARBOSE,OLMESARTAN,0.0,1.0
ACARBOSE,OLMESARTAN MEDOXOMIL,0.0,1.0
ACARBOSE,ORLISTAT,0.0,1.0
ACARBOSE,OSELTAMIVIR,0.0,1.0
ACARBOSE,OSELTAMIVIR ACID,0.0,1.0
ACARBOSE,OXYPHENBUTAZONE,0.0,1.0
ACARBOSE,OXYPHENONIUM BROMIDE,0.0,1.0
ACARBOSE,PALONOSETRON,1.0,0.0
ACARBOSE,PAMIDRONIC ACID,0.0,1.0
ACARBOSE,PANOBINOSTAT,0.0,1.0
ACARBOSE,PARGYLINE,0.0,1.0
ACARBOSE,PAROMOMYCIN,0.0,1.0
ACARBOSE,PAZOPANIB,0.0,1.0
ACARBOSE,PENTAMIDINE,1.0,0.0
ACARBOSE,PENTOLINIUM TARTRATE,0.0,1.0
ACARBOSE,PHENSUXIMIDE,0.0,1.0
ACARBOSE,PIPERAZINE HEXAHYDRATE,1.0,0.0
ACARBOSE,PRAMIPEXOLE,0.0,1.0
ACARBOSE,PRAZIQUANTEL,0.0,1.0
ACARBOSE,PREDNISOLONE,0.0,1.0
ACARBOSE,PRIMIDONE,1.0,0.0
ACARBOSE,PROBENECID,0.0,1.0
ACARBOSE,PROBUCOL,0.0,1.0
ACARBOSE,PROCARBAZINE,0.0,1.0
ACARBOSE,PROGUANIL,0.0,1.0
ACARBOSE,PYRAZINOIC ACID,0.0,1.0
ACARBOSE,PYRIDOSTIGMINE BROMIDE,0.0,1.0
ACARBOSE,PYRVINIUM CHLORIDE DIHYDRATE,1.0,0.0
ACARBOSE,QUININE,0.0,1.0
ACARBOSE,RALTEGRAVIR,1.0,0.0
ACARBOSE,RANOLAZINE,1.0,0.0
ACARBOSE,RIBAVIRIN,1.0,0.0
ACARBOSE,RISPERIDONE,0.0,1.0
ACARBOSE,ROSIGLITAZONE,0.0,1.0
ACARBOSE,RUFINAMIDE,0.0,1.0
ACARBOSE,SAXAGLIPTIN,0.0,1.0
ACARBOSE,SERTRALINE,0.0,1.0
ACARBOSE,SILDENAFIL,0.0,1.0
ACARBOSE,SITAGLIPTIN,0.0,1.0
ACARBOSE,SN-38,0.0,1.0
ACARBOSE,SORAFENIB,0.0,1.0
ACARBOSE,SPIRONOLACTONE,0.0,1.0
ACARBOSE,STANOZOLOL,1.0,0.0
ACARBOSE,SUCCINYLCHOLINE CHLORIDE,0.0,1.0
ACARBOSE,SULBACTAM,1.0,0.0
ACARBOSE,SULFAMETER,0.0,1.0
ACARBOSE,SUMATRIPTAN,0.0,1.0
ACARBOSE,SUNITINIB,0.0,1.0
ACARBOSE,TACRINE,0.0,1.0
ACARBOSE,TACROLIMUS,0.0,1.0
ACARBOSE,TAMOXIFEN,0.0,1.0
ACARBOSE,TEMOZOLOMIDE,1.0,1.0
ACARBOSE,TERAZOSIN,0.0,1.0
ACARBOSE,TESTOLACTONE,1.0,0.0
ACARBOSE,TESTOSTERONE,0.0,1.0
ACARBOSE,TETRABENAZINE,0.0,1.0
ACARBOSE,TETRACYCLINE,0.0,1.0
ACARBOSE,THALIDOMIDE,0.0,1.0
ACARBOSE,THIABENDAZOLE,0.0,1.0
ACARBOSE,THIOTEPA,0.0,1.0
ACARBOSE,TINIDAZOLE,0.0,1.0
ACARBOSE,TIZOXANIDE,0.0,1.0
ACARBOSE,TOLAZOLINE,0.0,1.0
ACARBOSE,TOLVAPTAN,0.0,1.0
ACARBOSE,TOPIRAMATE,0.0,1.0
ACARBOSE,TRANEXAMIC ACID,0.0,1.0
ACARBOSE,TRANYLCYPROMINE,0.0,1.0
ACARBOSE,TRAZODONE,0.0,1.0
ACARBOSE,TRIAMTERENE,0.0,1.0
ACARBOSE,TRIFLUPROMAZINE,0.0,1.0
ACARBOSE,TRIHEXYPHENIDYL,0.0,1.0
ACARBOSE,TRILOSTANE,0.0,1.0
ACARBOSE,TRIMETHOBENZAMIDE,0.0,1.0
ACARBOSE,TRIMETHOPRIM,0.0,1.0
ACARBOSE,TRIOXSALEN,1.0,0.0
ACARBOSE,ULIPRISTAL ACETATE,0.0,1.0
ACARBOSE,VALPROIC ACID,0.0,1.0
ACARBOSE,VARENICLINE,0.0,1.0
ACARBOSE,VECURONIUM BROMIDE,0.0,1.0
ACARBOSE,VINBLASTINE,1.0,0.0
ACARBOSE,ZAFIRLUKAST,0.0,1.0
ACARBOSE,ZALEPLON,0.0,1.0
ACARBOSE,ZILEUTON,0.0,1.0
ACARBOSE,ZOLINZA,1.0,0.0
ACARBOSE,ZONISAMIDE,1.0,0.0
ACC1 BMS,Marizomib / Salinosporamide A,0.0,1.0
ACC1 BMS,Panobinostat,1.0,0.0
ACEBUTOLOL HCL,TEMOZOLOMIDE,0.0,1.0
ACECLIDINE HCL,TEMOZOLOMIDE,1.0,0.0
ACEMETACIN,TEMOZOLOMIDE,0.0,1.0
ACESULFAME POTASSIUM,TEMOZOLOMIDE,1.0,0.0
ACETANILIDE,TEMOZOLOMIDE,1.0,0.0
ACETARSONE,TEMOZOLOMIDE,1.0,0.0
ACETAZOLAMIDE,ACETOHEXAMIDE,1.0,0.0
ACETAZOLAMIDE,ACETOHYDROXAMIC ACID,1.0,0.0
ACETAZOLAMIDE,ACITRETIN,0.0,1.0
ACETAZOLAMIDE,ALBENDAZOLE,1.0,0.0
ACETAZOLAMIDE,ALISKIREN,0.0,1.0
ACETAZOLAMIDE,ALLOPURINOL,0.0,1.0
ACETAZOLAMIDE,ALTRETAMINE,0.0,1.0
ACETAZOLAMIDE,AMANTADINE,0.0,1.0
ACETAZOLAMIDE,AMILORIDE,0.0,1.0
ACETAZOLAMIDE,AMODIAQUINE,0.0,1.0
ACETAZOLAMIDE,AMOXAPINE,0.0,1.0
ACETAZOLAMIDE,AMPRENAVIR,0.0,1.0
ACETAZOLAMIDE,ANASTROZOLE,0.0,1.0
ACETAZOLAMIDE,APREPITANT,0.0,1.0
ACETAZOLAMIDE,ARGATROBAN,0.0,1.0
ACETAZOLAMIDE,ARIPIPRAZOLE,1.0,0.0
ACETAZOLAMIDE,ARMODAFINIL,0.0,1.0
ACETAZOLAMIDE,ARTEMETHER,0.0,1.0
ACETAZOLAMIDE,ATENOLOL,0.0,1.0
ACETAZOLAMIDE,ATOVAQUONE,0.0,1.0
ACETAZOLAMIDE,AURANOFIN,0.0,1.0
ACETAZOLAMIDE,AZACITIDINE,0.0,1.0
ACETAZOLAMIDE,AZATADINE,0.0,1.0
ACETAZOLAMIDE,AZITHROMYCIN,1.0,0.0
ACETAZOLAMIDE,BORTEZOMIB,0.0,1.0
ACETAZOLAMIDE,BOSENTAN,1.0,0.0
ACETAZOLAMIDE,BRETYLIUM TOSYLATE,0.0,1.0
ACETAZOLAMIDE,BUMETANIDE,0.0,1.0
ACETAZOLAMIDE,BUSPIRONE,0.0,1.0
ACETAZOLAMIDE,BUSULFAN,0.0,1.0
ACETAZOLAMIDE,CANRENONE,0.0,1.0
ACETAZOLAMIDE,CARBOPLATIN,0.0,1.0
ACETAZOLAMIDE,CARGLUMIC ACID,0.0,1.0
ACETAZOLAMIDE,CARISOPRODOL,0.0,1.0
ACETAZOLAMIDE,CARMUSTINE,1.0,0.0
ACETAZOLAMIDE,CEFMENOXIME,0.0,1.0
ACETAZOLAMIDE,CERIVASTATIN,1.0,0.0
ACETAZOLAMIDE,CEVIMELINE,0.0,1.0
ACETAZOLAMIDE,CHLOROQUINE,0.0,1.0
